Gauss-Seidel	Jacobi	eps
3	3	1e-20
3	3	0.0001001
3	3	0.0002002
3	3	0.0003003
3	3	0.0004004
3	3	0.000500501
3	3	0.000600601
3	3	0.000700701
3	3	0.000800801
3	3	0.000900901
3	3	0.001001
3	3	0.0011011
3	3	0.0012012
3	3	0.0013013
3	3	0.0014014
3	3	0.0015015
3	3	0.0016016
3	3	0.0017017
3	3	0.0018018
3	3	0.0019019
3	3	0.002002
3	3	0.0021021
3	3	0.0022022
3	3	0.0023023
3	3	0.0024024
3	3	0.0025025
3	3	0.0026026
3	3	0.0027027
3	3	0.0028028
3	3	0.0029029
3	3	0.003003
3	3	0.0031031
3	3	0.0032032
3	3	0.0033033
3	3	0.0034034
3	3	0.0035035
3	3	0.0036036
3	3	0.0037037
3	3	0.0038038
3	3	0.0039039
3	3	0.004004
3	3	0.0041041
3	3	0.0042042
3	3	0.0043043
3	3	0.0044044
3	3	0.0045045
3	3	0.0046046
3	3	0.0047047
3	3	0.0048048
3	3	0.0049049
3	3	0.00500501
3	3	0.00510511
3	3	0.00520521
3	3	0.00530531
3	3	0.00540541
3	3	0.00550551
3	3	0.00560561
3	3	0.00570571
3	3	0.00580581
3	3	0.00590591
3	3	0.00600601
3	3	0.00610611
3	3	0.00620621
3	3	0.00630631
3	3	0.00640641
3	3	0.00650651
3	3	0.00660661
3	3	0.00670671
3	3	0.00680681
3	3	0.00690691
3	3	0.00700701
3	3	0.00710711
3	3	0.00720721
3	3	0.00730731
3	3	0.00740741
3	3	0.00750751
3	3	0.00760761
3	3	0.00770771
3	3	0.00780781
3	3	0.00790791
3	3	0.00800801
3	3	0.00810811
3	3	0.00820821
3	3	0.00830831
3	3	0.00840841
3	3	0.00850851
3	3	0.00860861
3	3	0.00870871
3	3	0.00880881
3	3	0.00890891
3	3	0.00900901
3	3	0.00910911
3	3	0.00920921
3	3	0.00930931
3	3	0.00940941
3	3	0.00950951
3	3	0.00960961
3	3	0.00970971
3	3	0.00980981
3	3	0.00990991
3	3	0.01001
3	3	0.0101101
3	3	0.0102102
3	3	0.0103103
3	3	0.0104104
3	3	0.0105105
3	3	0.0106106
3	3	0.0107107
3	3	0.0108108
3	3	0.0109109
3	3	0.011011
3	3	0.0111111
3	3	0.0112112
3	3	0.0113113
3	3	0.0114114
3	3	0.0115115
3	3	0.0116116
3	3	0.0117117
3	3	0.0118118
3	3	0.0119119
3	3	0.012012
3	3	0.0121121
3	3	0.0122122
3	3	0.0123123
3	3	0.0124124
3	3	0.0125125
3	3	0.0126126
3	3	0.0127127
3	3	0.0128128
3	3	0.0129129
3	3	0.013013
3	3	0.0131131
3	3	0.0132132
3	3	0.0133133
3	3	0.0134134
3	3	0.0135135
3	3	0.0136136
3	3	0.0137137
3	3	0.0138138
3	3	0.0139139
3	3	0.014014
3	3	0.0141141
3	3	0.0142142
3	3	0.0143143
3	3	0.0144144
3	3	0.0145145
3	3	0.0146146
3	3	0.0147147
3	3	0.0148148
3	3	0.0149149
3	3	0.015015
3	3	0.0151151
3	3	0.0152152
3	3	0.0153153
3	3	0.0154154
3	3	0.0155155
3	3	0.0156156
3	3	0.0157157
3	3	0.0158158
3	3	0.0159159
3	3	0.016016
3	3	0.0161161
3	3	0.0162162
3	3	0.0163163
3	3	0.0164164
3	3	0.0165165
3	3	0.0166166
3	3	0.0167167
3	3	0.0168168
3	3	0.0169169
3	3	0.017017
3	3	0.0171171
3	3	0.0172172
3	3	0.0173173
3	3	0.0174174
3	3	0.0175175
3	3	0.0176176
3	3	0.0177177
3	3	0.0178178
3	3	0.0179179
3	3	0.018018
3	3	0.0181181
3	3	0.0182182
3	3	0.0183183
3	3	0.0184184
3	3	0.0185185
3	3	0.0186186
3	3	0.0187187
3	3	0.0188188
3	3	0.0189189
3	3	0.019019
3	3	0.0191191
3	3	0.0192192
3	3	0.0193193
3	3	0.0194194
3	3	0.0195195
3	3	0.0196196
3	3	0.0197197
3	3	0.0198198
3	3	0.0199199
3	3	0.02002
3	3	0.0201201
3	3	0.0202202
3	3	0.0203203
3	3	0.0204204
3	3	0.0205205
3	3	0.0206206
3	3	0.0207207
3	3	0.0208208
3	3	0.0209209
3	3	0.021021
3	3	0.0211211
3	3	0.0212212
3	3	0.0213213
3	3	0.0214214
3	3	0.0215215
3	3	0.0216216
3	3	0.0217217
3	3	0.0218218
3	3	0.0219219
3	3	0.022022
3	3	0.0221221
3	3	0.0222222
3	3	0.0223223
3	3	0.0224224
3	3	0.0225225
3	3	0.0226226
3	3	0.0227227
3	3	0.0228228
3	3	0.0229229
3	3	0.023023
3	3	0.0231231
3	3	0.0232232
3	3	0.0233233
3	3	0.0234234
3	3	0.0235235
